Iteration,Custom Metrics
32,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 0}, 'agent-2': {'num_collected': 3, 'time_waited': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 0}, 'agent-4': {'num_collected': 1, 'time_waited': 0}}"
33,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 0}, 'agent-2': {'num_collected': 1, 'time_waited': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 0}, 'agent-4': {'num_collected': 20, 'time_waited': 0}}"
34,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 0}, 'agent-2': {'num_collected': 6, 'time_waited': 0}, 'agent-3': {'num_collected': 6, 'time_waited': 0}, 'agent-4': {'num_collected': 4, 'time_waited': 0}}"
35,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 8, 'time_waited': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 0}}"
36,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 0}, 'agent-2': {'num_collected': 1, 'time_waited': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 0}, 'agent-4': {'num_collected': 5, 'time_waited': 0}}"
37,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 1, 'time_waited': 0}, 'agent-2': {'num_collected': 1, 'time_waited': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 0}}"
38,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 1, 'time_waited': 0}, 'agent-2': {'num_collected': 1, 'time_waited': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 0}}"
39,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 0}, 'agent-2': {'num_collected': 8, 'time_waited': 0}, 'agent-3': {'num_collected': 3, 'time_waited': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 0}}"
40,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 7, 'time_waited': 0}, 'agent-2': {'num_collected': 1, 'time_waited': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 0}}"
41,"{'agent-0': {'num_collected': 0, 'time_waited': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 0}, 'agent-3': {'num_collected': 8, 'time_waited': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 0}}"
